prompt,response
MyTech Business Application Support: PowerMax - Not working (broken),"Issue: WOs are not generated for Notification number 30103535 and 30080925

Root Cause: WO are generated successfully without any issue.

Resolution: Provided user WO's generated for notifications.

Closure confirmation:
Kindly refer attached mail confirmation.

[Category: User Training]
[Category1: WO Master Data]
[Category2: WO Master Data]"
MyTech Business Application Support: PowerMax - Not working (broken),"Actual Issue: Hi Team,

I would like to change the quantity in the PO but I can't. Could you please help to check?

4102270247	from $51,180.03 to $49,175.14
4102268991	from $60,450.51 to $68,061.43
4102268918	from $157,846.30 to $164,292.61

Thanks & Regards,
Jasimin

Root Cause: PR qty was less than the PO qty

Resolution or Suggested steps: Suggested user to update the PR qty and then update the PO.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816

[Category: User training]
[Category1: Purchase Order]
[Category2: Changes]"
Payment proposal 03.08.2023..pdf PMx CoCo PHR2 payment run not working.docx ,"category : User Training
Category-1 : Document Posting
Category-2 :  Posting-

Actual issue : Payment proposal 03.08.2023..pdf PMx CoCo PHR2 payment run not working.docx 

RCA : User unable to run payment because the job got failed we ask basis team to re run that job now user able to complete payment.

Solution : User unable to run payment because the job got failed we ask basis team to re run that job now user able to complete payment.

Got closure from user.
"
Opening tasks problem,"Issue:  user not able to open inbox  tasks.
RCA: user facing network issue
Suggested step: connect  for short call refresh /reload the page
Solution : after refresh the page it is working.
Closing the ticket as confirmed by user
Please share your feedback on ticket closure using the link -  
https://app.sc.ge.com/surveys/create/569816
[Category: User training]
[Category 1: internet issue]
[Category 2: connectivity]"
Can't work on my OSIP tasks,"Issue: user  edit things on open OSIPs and I try to launch OSIP task from pegging view or inbox view, the system just loading, but nothing happens.
RCA: user facing network issue
Suggested step: connect  for short call refresh /reload the page
Solution : after refresh the page it is working.
Closing the ticket as confirmed by user
Please share your feedback on ticket closure using the link -  
https://app.sc.ge.com/surveys/create/569816
[Category: User training]
[Category 1: internet issue
[Category 2: connectivity]"
"[MEC07-2023]I have posted MJE with Doc # 10318116 , It is showing completed in workflow but it is not posted in GL .","Category : User Training
Category-1 : MJE
Category-2 : Invoice

Actual issue : [MEC07-2023]I have posted MJE with Doc # 10318116 , It is showing completed in workflow but it is not posted in GL .

RCA : User needs have edited MJE document now document is posted.

Solution : User needs have edited MJE document now document is posted.

Got closure from user via teams chat."
PE1: Mark is not coming,"Issue/Request :- Mark up value is not coming in PO 4102442822 for PR 0122028807 supplier 99533260
Root Cause:- Required condition record has not maintained for vendor: 99533260
Solution/Action :- Suggested user to connect with D&D team or internal to get created this required condition record
Closing the ticket as confirmed by user
User's closure confirmation attached

[Category: User training]
[Category1: Purchase order]
[Category2: Condition record misseed for Mark up value]"
PE1: PO cannot be created,"Issue/Request :- PO cannot be created
Root Cause:- Business requirement
Solution/Action :- PO has created with concern RFQ.
Closing the ticket as confirmed by user
User's closure confirmation attached

[Category: User training]
[Category1: Purchase order]
[Category2: with RFQ]"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue : Parts 3VSQT113AM006 and 3VTRT563AM007 with TCode  MD04 have error ""not defined in plant DC31"".
RC : Materials got created manaully using mm01 for plant 1Fr1 & PCH1 with out sales views this causing the issue.
Solution : requested user to to extended the sales views using MM01 tcode and restart in AIF.
Confirmation : provided in teams chat.

Category : Master data.
Category : Material Master "
EAC dashboard in prod not working any more,"Issue:  Fiori EAC dashboard is not working anymore (dashboard does not upen anymore, system is hanging). All users are impacted 
RCA:  Network issue.
Suggested step: connect short call  user refresh the window.
Solution: After refresh/reload the page it is working.
Closing the ticket as confirmed by user
Please share your feedback on ticket closure using the link -  
https://app.sc.ge.com/surveys/create/569816
[Category: User training]
[Category 1: Internet issue]
[Category 2:Connectivity"
[MEC07-2023]Not able to use transaction code ZFI_FV50L on PMX (Park and Post).,"Actual Issue/Request: [MEC07-2023]Not able to use transaction code ZFI_FV50L on PMX (Park and Post).


Root Cause: Amount field is not in correct format

Solution: updated the upload file. user is able to post that."
PE1: Please reverse document,"
Category : User Training
Category-1 : Document Posting
Category-2 :  Posting

Actual issue : PE1: Please reverse documents in PRMT coco created by BATCH

RCA : There is no job is available  in sap for mass reverse we informed user for manual reversal .

Solution : There is no job is available  in sap for mass reverse we informed user for manual reversal .

Got closure from user via teams chat."
PE1: Please reverse documents in PRMT coco created by BATCH,"Category : User Training
Category-1 : Document Posting
Category-2 :  Posting

Actual issue : PE1: Please reverse documents in PRMT coco created by BATCH

RCA : There is no job is available  in sap for mass reverse we informed user for manual reversal .

Solution : There is no job is available  in sap for mass reverse we informed user for manual reversal .

Got closure from user via teams chat."
Changes on the password. ,"Actual Issue: My password is expiring within 3 days, I´ve tried to change. Buy system doesn´t process the change. Please your support to check.
Root Cause: My password is expiring within 3 days, I´ve tried to change. Buy system doesn´t process the change. Please your support to check.
Resolution or Suggested steps: My password is expiring within 3 days, I´ve tried to change. Buy system doesn´t process the change. Please your support to check. 

Hello Reneta

GERITM41248376 by Srikanthreddy, Kommidi (GE Vernova, consultant)
9:50 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)

GERITM41248376

reg this issue please let me know the issue... by Srikanthreddy, Kommidi (GE Vernova, consultant)
9:50 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)

reg this issue please let me know the issue you're facing?

Last read
hi could you please remind what was the req... by Dossantos, Renata (GE Vernova, consultant)
Dossantos, Renata (GE Vernova, consultant)
9:51 PM

hi could you please remind what was the request for this incident?

My password is expiring within 3 days, I´ve... by Srikanthreddy, Kommidi (GE Vernova, consultant)
9:52 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)

My password is expiring within 3 days, I´ve tried to change. Buy system doesn´t process the change. Please your support to check.

related your password by Srikanthreddy, Kommidi (GE Vernova, consultant)
9:52 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)

related your password

ok this is fine. all fixed thank you! by Dossantos, Renata (GE Vernova, consultant)
Dossantos, Renata (GE Vernova, consultant)
9:52 PM

ok this is fine. all fixed thank you!

Thank you for your confirmation by Srikanthreddy, Kommidi (GE Vernova, consultant)
9:52 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)

Thank you for your confirmation

should I proceed to close this incident? by Srikanthreddy, Kommidi (GE Vernova, consultant)
9:53 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)

should I proceed to close this incident?

please confirm by Srikanthreddy, Kommidi (GE Vernova, consultant)
9:53 PM
Srikanthreddy, Kommidi (GE Vernova, consultant)

please confirm

yes please by Dossantos, Renata (GE Vernova, consultant)
Dossantos, Renata (GE Vernova, consultant)
9:53 PM

yes please

has context menu
Compose
Here you go.Ok, thanks.Will do!

Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

[Category: User training
[Category1:Browser issue, GUI issue
[Category2: Clear Cookies, Application"
PE1: MJE has been stuck or showing error in system,"Actual Issue/Request: PE1: MJE has been stuck or showing error in system
Root Cause: MJE posting error
Resolution: No action taken, resolved from user end.
Closing the ticket as confirmed by user
Please share your feedback on ticket closure using the link https://app.sc.ge.com/surveys/create/569816

Category:User Training	
Category-1:MJE
Category-2:
"
Cannot change language from Chinese into English,"Actual Issue: Cannot change language from Chinese into English
Root Cause: Changed settings.
Resolution or Suggested steps: Changed settings.

[3:50 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

Hello dan

[5:36 PM] Xiong, Dan (GE Vernova)

Hi Kommidi 

[5:38 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

can we conenct for 5  mins and check the issue?

[5:38 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

if you are free

[5:39 PM] Xiong, Dan (GE Vernova)

Sure, let me open the website first

[5:40 PM] Xiong, Dan (GE Vernova)

Should I share my Screen?

[5:42 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

please

[5:42 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

Should I call?

[7:57 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

Could you please confirm to close incident dan

[7:57 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

as issue is resolved

[7:58 PM] Xiong, Dan (GE Vernova)

Ah I though it's already closed as I filled a form...I'm on it now, sorry

[7:59 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

no need just confirm here

[7:59 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

shall I proceed to close

[7:59 PM] Xiong, Dan (GE Vernova)

Sure if it's possible

[7:59 PM] Srikanthreddy, Kommidi (GE Vernova, consultant)

Thank you Dan

[8:00 PM] Xiong, Dan (GE Vernova)

Many thanks to you too

Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

[Category: User training
[Category1:Browser issue, GUI issue
[Category2: Clear Cookies, Application"
I am unable to use transaction code ZFI_FV50L on SAP PMX.,"Problem Statement : I am unable to use transaction code ZFI_FV50L on SAP PMX.
RCA : we reached user for inputs but user confirmed that the issue has been resolved so no help is required from our L2 support team
Solution :  we reached user for inputs but user confirmed that the issue has been resolved so no help is required from our L2 support team

CC: Received closure confirmation from user
Please share your feedback on ticket closure using the link-  https://app.sc.ge.com/surveys/create/569816


Category: User Training
Category-1:MJE
Category-2:"
